Job;Education;Balance;Loan;;;;;
management;tertiary;enough;no;nov;rarely;low;no;no
services;secondary;enough;no;jun;rarely;low;no;no
entrepreneur;secondary;enough;no;jul;rarely;low;no;no
housemaid;tertiary;middle;no;jan;rarely;low;no;no
management;tertiary;rich;no;nov;rarely;low;no;yes
blue-collar;primary;middle;no;may;not;low;no;no
retired;unknown;middle;no;aug;not;half;no;yes
self-employed;secondary;middle;yes;jul;rarely;low;no;no
admin;secondary;enough;yes;aug;rarely;low;no;no
retired;secondary;rich;no;jul;rarely;low;yes;yes
admin;secondary;enough;no;apr;rarely;low;no;yes
technician;tertiary;middle;no;aug;rarely;low;no;no
student;secondary;middle;no;apr;not;low;yes;yes
blue-collar;secondary;enough;yes;jan;not;low;no;no
management;tertiary;enough;yes;aug;rarely;low;no;yes
technician;secondary;rich;no;aug;rarely;low;no;no
admin;tertiary;middle;no;apr;not;half;no;yes
blue-collar;primary;less;no;may;not;low;no;no
services;secondary;enough;no;jul;not;low;no;no
management;unknown;less;no;nov;rarely;low;no;no
management;tertiary;middle;no;jul;rarely;low;no;yes
self-employed;secondary;enough;yes;jul;rarely;low;no;no
blue-collar;secondary;enough;no;jan;rarely;low;no;no
student;secondary;enough;no;aug;rarely;low;yes;no
technician;secondary;middle;yes;nov;rarely;low;yes;no
services;secondary;middle;no;may;rarely;low;no;no
admin;secondary;rich;yes;aug;not;low;no;no
blue-collar;primary;enough;no;aug;not;low;no;no
management;tertiary;enough;no;jun;rarely;low;no;yes
admin;secondary;middle;no;jul;not;low;no;no
technician;secondary;enough;no;aug;rarely;low;no;no
management;secondary;enough;no;nov;not;low;no;no
management;tertiary;rich;no;aug;rarely;low;yes;yes
technician;tertiary;middle;no;aug;rarely;low;yes;no
admin;secondary;middle;no;may;not;low;no;no
retired;primary;enough;no;oct;not;low;yes;yes
blue-collar;secondary;middle;no;nov;not;low;yes;no
management;secondary;rich;no;may;not;half;yes;yes
services;tertiary;enough;no;may;always;low;no;yes
retired;secondary;less;no;jun;rarely;low;yes;yes
management;tertiary;middle;no;aug;rarely;low;no;yes
blue-collar;secondary;middle;no;may;not;low;no;no
technician;tertiary;enough;no;may;rarely;low;no;no
technician;tertiary;middle;no;nov;rarely;low;no;no
management;tertiary;middle;no;may;rarely;low;no;no
services;tertiary;enough;no;may;always;low;no;yes
blue-collar;primary;less;no;may;not;low;no;no
entrepreneur;primary;less;yes;feb;not;low;no;no
self-employed;tertiary;middle;no;nov;not;low;no;no
technician;tertiary;enough;no;may;rarely;low;no;no
technician;secondary;enough;no;aug;rarely;low;no;no
technician;secondary;enough;no;aug;rarely;low;no;no
technician;tertiary;middle;no;jun;not;low;yes;yes
blue-collar;secondary;middle;no;jul;rarely;low;no;no
admin;secondary;rich;no;jul;rarely;low;no;no
management;secondary;enough;yes;feb;not;low;no;no
self-employed;tertiary;middle;no;nov;not;low;no;no
retired;secondary;enough;yes;may;not;low;no;no
technician;secondary;middle;yes;may;not;low;no;no
blue-collar;primary;less;yes;jul;rarely;low;no;no
retired;secondary;enough;no;oct;not;low;no;yes
management;tertiary;rich;no;aug;rarely;low;no;yes
services;secondary;middle;no;jul;rarely;low;no;no
admin;secondary;rich;no;oct;not;low;no;yes
blue-collar;secondary;enough;no;may;not;half;no;no
services;secondary;enough;no;jan;not;low;no;no
technician;secondary;enough;no;jul;rarely;low;no;no
management;secondary;less;yes;jul;rarely;low;no;no
technician;tertiary;enough;no;nov;rarely;low;no;no
management;tertiary;less;no;jul;rarely;half;yes;yes
entrepreneur;tertiary;enough;no;may;not;low;no;yes
management;tertiary;rich;no;may;rarely;low;no;no
services;tertiary;enough;no;jun;rarely;low;no;yes
retired;secondary;enough;no;may;not;low;no;no
management;tertiary;rich;no;aug;rarely;low;no;yes
